Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
DGKE	gene	DGKE	Emory Genetics Laboratory;Expert list;Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 7 615008; {Hemolytic uremic syndrome, atypical, susceptibility to, 7} 615008				 23542698;  23274426		False	3	0;0;0	1.120	False		ENSG00000153933	ENSG00000153933	HGNC:2852													
DSTYK	gene	DSTYK	Expert list;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"{Congenital anomalies of kidney and urinary tract, susceptibility to}	610805"						False	3	0;0;100	1.120	False		ENSG00000133059	ENSG00000133059	HGNC:29043													
EYA1	gene	EYA1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Branchiootorenal syndrome 1, with or without cataracts	113650"						False	3	0;0;0	1.120	False		ENSG00000104313	ENSG00000104313	HGNC:3519													
FAN1	gene	FAN1	Expert list;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	interstitial nephritis;chronic kidney disease;Interstitial nephritis, karyomegalic 614817				22772369		False	3	100;0;0	1.120	False		ENSG00000198690	ENSG00000198690	HGNC:29170													
FRAS1	gene	FRAS1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome 219000						False	3	0;0;0	1.120	False		ENSG00000138759	ENSG00000138759	HGNC:19185													
FREM1	gene	FREM1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bifid nose with or without anorectal and renal anomalies, 608980				PMID: 24700879		False	3	0;0;0	1.120	False		ENSG00000164946	ENSG00000164946	HGNC:23399													
FREM2	gene	FREM2	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome 219000						False	3	0;0;0	1.120	False		ENSG00000150893	ENSG00000150893	HGNC:25396													
GATA3	gene	GATA3	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypoparathyroidism, sensorineural deafness, and renal dysplasia, 146255						False	3	0;0;0	1.120	False		ENSG00000107485	ENSG00000107485	HGNC:4172													
GLA	gene	GLA	Expert;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	renal insufficiency;renal failure;Fabry disease, 301500				28006774;15861341;15100373		False	3	0;0;0	1.120	False		ENSG00000102393	ENSG00000102393	HGNC:4296													
GLI3	gene	GLI3	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pallister-Hall syndrome, OMIM:146510						False	3	0;0;0	1.120	False		ENSG00000106571	ENSG00000106571	HGNC:4319													
