Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ITSN1	gene	ITSN1	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Early childhood SSNS				29773874		False	3	100;0;0	5.2	False		ENSG00000205726	ENSG00000205726	HGNC:6183													
LAGE3	gene	LAGE3	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Galloway-Mowat syndrome 2, X-linked, OMIM:301006				28805828		False	3	100;0;0	5.2	False		ENSG00000196976	ENSG00000196976	HGNC:26058													
LAMB2	gene	LAMB2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 5, with or without ocular abnormalities #614199;Pierson syndrome #609049				20556798		False	3	100;0;0	5.2	True		ENSG00000172037	ENSG00000172037	HGNC:6487													
LCAT	gene	LCAT	Expert Review;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Norum disease, OMIM:245900;Norum disease, MONDO:0009515;LCAT DEFICIENCY				21315357;30201532;29535099;22108153;28508023;25657982;9884427		False	3	67;33;0	5.2	False		ENSG00000213398	ENSG00000213398	HGNC:6522													
LMX1B	gene	LMX1B	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Nail-patella syndrome #161200;FSGS;proteinuria;kidney failure;isolated glomerulopathy				18414507;2368736;24042019		False	3	100;0;0	5.2	True	Other - please provide details in the comments	ENSG00000136944	ENSG00000136944	HGNC:6654													
MAGI2	gene	MAGI2	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 15 617609				29773874;27932480		False	3	100;0;0	5.2	False		ENSG00000187391	ENSG00000187391	HGNC:18957													
MYH9	gene	MYH9	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Epstein syndrome #153650;Fechtner syndrome #153640				12792306;22627578;10973259;24186861		False	3	100;0;0	5.2	True		ENSG00000100345	ENSG00000100345	HGNC:7579													
MYO1E	gene	MYO1E	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Glomerulosclerosis, focal segmental, 6 #614131				21697813;23595123		False	3	100;0;0	5.2	True		ENSG00000157483	ENSG00000157483	HGNC:7599													
NOS1AP	gene	NOS1AP	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 22, OMIM:619155				33523862		False	3	100;0;0	5.2	False		ENSG00000198929	ENSG00000198929	HGNC:16859													
NPHS1	gene	NPHS1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 1 #602716						False	3	100;0;0	5.2	True		ENSG00000161270	ENSG00000161270	HGNC:7908													
