Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CLDN19	gene	CLDN19	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	hypomagensemia with nephrocalcinosis;Hypomagnesemia 5, renal, with ocular involvement				PMID: 17033971		False	3	100;0;0	5.1	True		ENSG00000164007	ENSG00000164007	HGNC:2040													
CYP24A1	gene	CYP24A1	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Infantile Hypercalcemia;Hypercalcemia, infantile, 143880;Infantile hypercalcaemia						False	3	100;0;0	5.1	True		ENSG00000019186	ENSG00000019186	HGNC:2602													
FAM20A	gene	FAM20A	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Amelogenesis imperfecta, type IG (enamel-renal syndrome) 204690				23468644;30394349;28298625;22732358		False	3	100;0;0	5.1	False		ENSG00000108950	ENSG00000108950	HGNC:23015													
GRHPR	gene	GRHPR	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria;Primary Hyperoxaluria Type 2;Hyperoxaluria, primary, type II, 260000;Hyperoxaluria						False	3	100;0;0	5.1	True		ENSG00000137106	ENSG00000137106	HGNC:4570													
HNF4A	gene	HNF4A	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young, OMIM:616026				24285859;25819479		False	3	50;50;0	5.1	False		ENSG00000101076	ENSG00000101076	HGNC:5024													
HOGA1	gene	HOGA1	Eligibility statement prior genetic testing;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria;Hyperoxaluria, primary, type III, 613616;Hyperoxaluria						False	3	100;0;0	5.1	True		ENSG00000241935	ENSG00000241935	HGNC:25155													
HPRT1	gene	HPRT1	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Hyperuricemia, HRPT-related, OMIM:300323;Lesch-Nyhan syndrome, OMIM:300322				31129767;27079129		False	3	100;0;0	5.1	False		ENSG00000165704	ENSG00000165704	HGNC:5157													
KCNJ1	gene	KCNJ1	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Antenatal Bartter Syndrome;Bartter syndrome, type 2, 241200;Type 2 Bartter syndrome;often initial transient hyperkalemia						False	3	100;0;0	5.1	True		ENSG00000151704	ENSG00000151704	HGNC:6255													
MOCOS	gene	MOCOS	Expert Review Green;Literature	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Xanthinuria, type II, OMIM:603592				11302742;17368066;14624414;25967871;34356852;32073534;30758870;27919260		False	3	100;0;0	5.1	False		ENSG00000075643	ENSG00000075643	HGNC:18234													
OCRL	gene	OCRL	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lowe syndrome, OMIM:309000;Dent disease 2, OMIM:300555;As for CLCN5 (Nephrocalcinosis with low molecular weight proteinuria and pregressive CKD) but may include intellectual disability and other features of Lowe syndrome				33517444		False	3	100;0;0	5.1	True		ENSG00000122126	ENSG00000122126	HGNC:8108													
PHEX	gene	PHEX	Expert list;Expert Review Green;Literature	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Hypophosphatemic rickets, X-linked dominant 307800				31514490;29460029		False	3	100;0;0	5.1	False		ENSG00000102174	ENSG00000102174	HGNC:8918													
