Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
HNF4A	gene	HNF4A	Expert list;Expert Review Green	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young, OMIM:616026				22802087;24285859;30005691;28458902;31875549		False	3	100;0;0	5.6	False		ENSG00000101076	ENSG00000101076	HGNC:5024													
KCNJ1	gene	KCNJ1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypokalaemic alkalosis with hypercalciuria;Type 2 Bartter syndrome;often initial transient hyperkalemia;Bartter syndrome, type 2, 241200						False	3	100;0;0	5.6	True		ENSG00000151704	ENSG00000151704	HGNC:6255													
KCNJ10	gene	KCNJ10	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	SESAME/EAST syndrome, 612780				19289823;20807765;20651251;21849804		False	3	100;0;0	5.6	False		ENSG00000177807	ENSG00000177807	HGNC:6256													
KCNJ16	gene	KCNJ16	Expert Review Green;Literature;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypokalemic tubulopathy and deafness, OMIM:619406				33811157;33840812		False	3	100;0;0	5.6	False		ENSG00000153822	ENSG00000153822	HGNC:6262													
KLHL3	gene	KLHL3	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Pseudohypoaldosteronism, type IID, 614495				22266938;22406640		False	3	100;0;0	5.6	False		ENSG00000146021	ENSG00000146021	HGNC:6354													
MAGED2	gene	MAGED2	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Bartter syndrome, type 5, antenatal, transient, OMIM:300971				27120771		False	3	100;0;0	5.6	False		ENSG00000102316	ENSG00000102316	HGNC:16353													
NR3C2	gene	NR3C2	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pseudohypoaldosteronism type I, autosomal dominant, 177735;Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy, 605115 no inheritance pattern				9662404;12788847;16972228;16954160;12483305		False	3	100;0;0	5.6	False		ENSG00000151623	ENSG00000151623	HGNC:7979													
REN	gene	REN	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hyperuricemic nephropathy, familial juvenile 2, 613092;Renal tubular dysgenesis 267430 AR				22095942;16116425;21036942;17555949;19664745		False	3	100;0;0	5.6	False		ENSG00000143839	ENSG00000143839	HGNC:9958													
RMND1	gene	RMND1	Expert list;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 11, OMIM:614922;tubulopathy;renal tubular acidosis;interstitial nephritis;end-stage renal disease;tubular atrophy				32911714;31889854;31568715		False	3	100;0;0	5.6	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000155906	ENSG00000155906	HGNC:21176													
RRAGD	gene	RRAGD	Expert Review Green;Literature;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	hypomagnesaemia;cardiomyopathy;tubular renal disease-cardiomyopathy syndrome, MONDO:0019130				34607910		False	3	100;0;0	5.6	False	Other	ENSG00000025039	ENSG00000025039	HGNC:19903													
