PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37510393,The Effect of DNA Methylation in the Development and Progression of Chronic Kidney Disease in the General Population: An Epigenome-Wide Association Study Using the Korean Genome and Epidemiology Study Database,"Kim JE, Jo MJ, Cho E, Ahn SY, Kwon YJ, Gim JA, Ko GJ.",Genes (Basel). 2023 Jul 21;14(7):1489. doi: 10.3390/genes14071489.,Kim JE,Genes (Basel),2023,2023-07-29,PMC10379047,,10.3390/genes14071489
40325148,Prognostic significance of circulating tumor DNA alterations in advanced renal cell carcinoma from SCRUM-Japan MONSTAR-SCREEN: a nationwide genomic profiling project,"Kato T, Shiota M, Nishimoto K, Matsubara N, Osawa T, Abe T, Yasumizu Y, Tanaka N, Yamamoto Y, Ishizuya Y, Abutani H, Bando H, Fujisawa T, Nakamura Y, Oya M, Shinohara N, Eto M, Yoshino T, Nonomura N.",Br J Cancer. 2025 Jul;133(1):111-120. doi: 10.1038/s41416-025-02985-8. Epub 2025 May 5.,Kato T,Br J Cancer,2025,2025-05-05,PMC12238367,,10.1038/s41416-025-02985-8
35962481,Parents' experiences with large-scale sequencing for genetic predisposition in pediatric renal cancer: A qualitative study,"Bon SBB, Wouters RHP, Hol JA, Jongmans MCJ, van den Heuvel-Eibrink MM, Grootenhuis MA.",Psychooncology. 2022 Oct;31(10):1692-1699. doi: 10.1002/pon.6016. Epub 2022 Aug 25.,Bon SBB,Psychooncology,2022,2022-08-13,PMC9804506,,10.1002/pon.6016
36404353,Genome-wide association study of the risk of chronic kidney disease and kidney-related traits in the Japanese population: J-Kidney-Biobank,"Sugawara Y, Hirakawa Y, Nagasu H, Narita A, Katayama A, Wada J, Shimizu M, Wada T, Kitamura H, Nakano T, Yokoi H, Yanagita M, Goto S, Narita I, Koshiba S, Tamiya G, Nangaku M, Yamamoto M, Kashihara N.",J Hum Genet. 2023 Feb;68(2):55-64. doi: 10.1038/s10038-022-01094-1. Epub 2022 Nov 21.,Sugawara Y,J Hum Genet,2023,2022-11-20,,,10.1038/s10038-022-01094-1
36072369,Application of metagenomic next-generation sequencing in the diagnosis and treatment of recurrent urinary tract infection in kidney transplant recipients,"Duan W, Yang Y, Zhao J, Yan T, Tian X.",Front Public Health. 2022 Aug 22;10:901549. doi: 10.3389/fpubh.2022.901549. eCollection 2022.,Duan W,Front Public Health,2022,2022-09-08,PMC9441654,,10.3389/fpubh.2022.901549
35099770,The utility of a genetic kidney disease clinic employing a broad range of genomic testing platforms: experience of the Irish Kidney Gene Project,"Elhassan EAE, Murray SL, Connaughton DM, Kennedy C, Cormican S, Cowhig C, Stapleton C, Little MA, Kidd K, Bleyer AJ, Živná M, Kmoch S, Fennelly NK, Doyle B, Dorman A, Griffin MD, Casserly L, Harris PC, Hildebrandt F, Cavalleri GL, Benson KA, Conlon PJ.",J Nephrol. 2022 Jul;35(6):1655-1665. doi: 10.1007/s40620-021-01236-2. Epub 2022 Jan 31.,Elhassan EAE,J Nephrol,2022,2022-01-31,PMC9300532,,10.1007/s40620-021-01236-2
35393322,Diagnostic yield of massively parallel sequencing in patients with chronic kidney disease of unknown etiology: rationale and design of a national prospective cohort study,"de Haan A, Eijgelsheim M, Vogt L, van der Zwaag B, van Eerde AM, Knoers NVAM, de Borst MH.",BMJ Open. 2022 Apr 7;12(4):e057829. doi: 10.1136/bmjopen-2021-057829.,de Haan A,BMJ Open,2022,2022-04-08,PMC8991067,,10.1136/bmjopen-2021-057829
35148957,Genome-wide meta-analysis between renal overload type and renal underexcretion type of clinically defined gout in Japanese populations,"Toyoda Y, Nakayama A, Nakatochi M, Kawamura Y, Nakaoka H, Yamamoto K, Shimizu S, Ooyama H, Ooyama K, Shimizu T, Nagase M, Hidaka Y, Ichida K, Inoue I, Shinomiya N, Matsuo H; Japan Gout Genomics Consortium (Japan Gout).",Mol Genet Metab. 2022 Jul;136(3):186-189. doi: 10.1016/j.ymgme.2022.01.100. Epub 2022 Jan 31.,Toyoda Y,Mol Genet Metab,2022,2022-02-12,,,10.1016/j.ymgme.2022.01.100
39054238,Genetic study in young patients with chronic kidney disease stage G5 from unknown etiology. The GENSEN study design,"Blasco M, Quiroga B, García-Aznar JM, Torra R, Ortiz A, de Sequera P; Grupo colaborativo GENSEN.",Nefrologia (Engl Ed). 2024 Jul-Aug;44(4):568-575. doi: 10.1016/j.nefroe.2023.09.010. Epub 2024 Jul 25.,Blasco M,Nefrologia (Engl Ed),2024,2024-07-25,,,10.1016/j.nefroe.2023.09.010
33838163,Genome-wide association study of serum metabolites in the African American Study of Kidney Disease and Hypertension,"Luo S, Feofanova EV, Tin A, Tung S, Rhee EP, Coresh J, Arking DE, Surapaneni A, Schlosser P, Li Y, Köttgen A, Yu B, Grams ME.",Kidney Int. 2021 Aug;100(2):430-439. doi: 10.1016/j.kint.2021.03.026. Epub 2021 Apr 8.,Luo S,Kidney Int,2021,2021-04-10,PMC8583323,NIHMS1751949,10.1016/j.kint.2021.03.026
